persistence_impl,scenario,runtime,jobs
lmdb,fresh,1.8266,2100
lmdb,fresh,1.7289,2100
lmdb,fresh,1.7746,2100
lmdb,fresh,1.7652,2100
lmdb,fresh,1.862,2100
lmdb,codechange,2.5243,2100
lmdb,codechange,2.5535,2100
lmdb,codechange,2.4942,2100
lmdb,codechange,2.4973,2100
lmdb,codechange,2.4779,2100
lmdb,paramchange,3.0873,2100
lmdb,paramchange,3.0283,2100
lmdb,paramchange,3.0435,2100
lmdb,paramchange,2.9927,2100
lmdb,paramchange,3.0355,2100
json,fresh,1.8738,2100
json,fresh,1.7874,2100
json,fresh,1.7698,2100
json,fresh,1.7639,2100
json,fresh,1.8502,2100
json,codechange,8.6137,2100
json,codechange,2.64,2100
json,codechange,2.5529,2100
json,codechange,2.5965,2100
json,codechange,2.5966,2100
json,paramchange,3.6328,2100
json,paramchange,3.1603,2100
json,paramchange,3.122,2100
json,paramchange,3.1347,2100
json,paramchange,3.1249,2100
